2024-12-12 15:47:04,389 - INFO - IA inicializada.
2024-12-12 15:50:27,850 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:27,850 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:28,370 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:28,370 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:28,918 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:28,918 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:29,470 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:29,470 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:30,020 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:30,020 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:30,571 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:30,571 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:31,121 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:31,121 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
